Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
J'accuse,"""Pendant les 12 années qu’elle dura, l’Affaire Dreyfus déchira la France, provoquant un véritable séisme dans le monde entier. Dans cet immense scandale, le plus grand sans doute de la fin du XIXème siècle, se mêlent erreur judiciaire, déni de justice et antisémitisme.""","13 novembre 2019
","
2h 12min
","""
Drame,
Historique,
 Thriller""","
Roman Polanski","""
Jean Dujardin,
Louis Garrel,
Emmanuelle Seigner""","""4,0""","""3,8"""
Madagascar,"""Lorsqu'un lion, un zèbre, une girafe, un hippopotame et une poignée de pingouins psychotiques fuient leur zoo new-yorkais pour secourir l'un des leurs, l'aventure s'écrit avec un grand A...""","22 juin 2005
","
1h 26min
","""
Aventure,
Animation,
Comédie""","""
Eric Darnell,
Tom McGrath""","""
José Garcia,

Ben Stiller,
Anthony Kavanagh""","""3,6""","""3,5"""
Les Désastreuses aventures des orphelins Baudelaire,"""A la suite d'un incendie qui tua leurs parents, trois petits orphelins, Sunny, Klaus et Violet Baudelaire, sont recueillis par Lemony Snicket qui les protège du méchant comte Olaf.""","22 décembre 2004
","
1h 48min
","""
Comédie,
Fantastique""","
Brad Silberling","""
Jim Carrey,
Meryl Streep,
Jude Law""","""3,8""","""3,4"""
Kick-Ass,L'histoire suit un lycéen que personne ne remarque nommé Dave Lizewski. Il décide de devenir un super-héros alors qu'il ne dispose d'aucune aptitude physique particulière. Les choses changent lorsqu'il finit par rencontrer un vrai méchant...,"21 avril 2010
","
1h 57min
","""
Action,
Drame""","
Matthew Vaughn","""
Aaron Taylor-Johnson,

Nicolas Cage,
Chloë Grace Moretz""","""3,5""","""4,0"""
Mon beau-père et moi,"""Greg Focker, un modeste infirmier de Chicago, vit depuis deux mois avec la charmante Pam Byrnes et rêve d'officialiser leur union. Ravie de sa proposition, la jeune femme insiste pour un strict respect des règles bourgeoises : Greg devra obtenir l'accord de son père, Jack.Deux semaines plus tard, le couple fait son apparition dans la luxueuse ...""","3 janvier 2001
","
1h 47min
","""
Comédie,
Romance""","
Jay Roach","""
Robert De Niro,
Ben Stiller,
Teri Polo""","""3,4""","""3,4"""
Lord of War,"""L'ascension irrésistible d'un trafiquant d'armes dans le monde du crime, aux quatre coins du monde, au gré des guerres et des luttes de pouvoir, ses trahisons, ses amours, et la traque que lui mène sans relâche un agent du FBI qui a juré sa perte...""","4 janvier 2006
","
2h 02min
","""
Action,
Drame,
Thriller""","
Andrew Niccol","""
Nicolas Cage,
Ethan Hawke,
Jared Leto""","""3,7""","""4,2"""
Shooter tireur d'élite,"""Doublé sur un contrat, un tueur à gages est pourtant accusé du meurtre. Il va devoir échapper au FBI et retrouver le tueur...""","18 avril 2007
","
2h 04min
","""
Action,
Policier""","
Antoine Fuqua","""
Mark Wahlberg,
Michael Peña,
Rhona Mitra""","""2,3""","""3,4"""
Blood Diamond,"""En Sierra Leone, un homme, spécialisé dans la contrebande de diamants utilisés pour financer la guerre civile, fait la connaissance d'un fermier, dont le fils a été enrôlé dans l'armée rebelle. Cette rencontre bouleversera la vie de l'aventurier.""","31 janvier 2007
","
2h 23min
","""
Aventure,
Drame,
Thriller""","
Edward Zwick","""
Leonardo DiCaprio,
Djimon Hounsou,
Jennifer Connelly""","""3,5""","""4,1"""
Tamara,"""Tamara, 15 ans, complexée par ses rondeurs, décide à son entrée en seconde de se débarrasser de son étiquette de « grosse ». Pour clouer le bec des mauvaises langues, elle fait le pari avec sa meilleure amie de sortir avec le premier garçon qui passera la porte de la classe.""","26 octobre 2016
","
1h 40min
","
Comédie","
Alexandre Castagnetti","""
Héloïse Martin,
Sylvie Testud,
Cyril Gueï""","""3,2""","""3,4"""
Gangster Squad,"""Los Angeles, 1949. Mickey Cohen, originaire de Brooklyn, est un parrain impitoyable de la mafia qui dirige la ville et récolte les biens mal acquis de la drogue, des armes, des prostituées et – s’il arrive à ses fins – de tous les paris à l’ouest de Chicago.""","6 février 2013
","
1h 53min
","""
Action,
Policier,
Drame""","
Ruben Fleischer","""
Josh Brolin,
Ryan Gosling,
Sean Penn""","""2,4""","""3,6"""
Midnight Express,"""Billy Hayes est arrêté à Istanbul pour avoir sur lui quelques grammes de hashisch. Condamné à perpétuité, il est enfermé dans des geôles d'une extrême inhumanité.""","1 septembre 1978
","
2h 00min
","
Drame","
Alan Parker","""
Brad Davis,
Irene Miracle,
Bo Hopkins""","""2,0""","""4,3"""
Un Bonheur n'arrive jamais seul,"""Sacha aime ses amis, son piano, la fête. La nuit, il joue dans un club de jazz et séduit des jolies filles. Charlotte a trois enfants, deux ex-maris et une carrière professionnelle à gérer. Tout les oppose. Ils sont faits l’un pour l’autre.""","27 juin 2012
","
1h 50min
","""
Comédie,
Romance""","
James Huth","""
Sophie Marceau,

Gad Elmaleh,
Maurice Barthélémy""","""2,4""","""3,1"""
La Folle Histoire de Max et Léon,"""Les aventures de Max et Léon, deux amis d'enfance fainéants et bringueurs, qui tentent par tous les moyens d'échapper à la Seconde Guerre mondiale.""","1 novembre 2016
","
1h 38min
","""
Comédie,
Guerre""","
Jonathan Barré","""
David Marsais,
Grégoire Ludig,
Alice Vial""","""3,2""","""3,5"""
American Beauty,"""Une maison de rêve, un pavillon bourgeois discrètement cossu dissimule dans une banlieue résidentielle, c'est ici que résident Lester Burnhamm, sa femme Carolyn et leur fille Jane. L'agitation du monde et sa violence semblent bien loin ici. Mais derrière cette respectable façade se tisse une étrange et grinçante tragi-comédie familiale ou ...""","2 février 2000
","
2h 02min
","
Drame","
Sam Mendes","""
Kevin Spacey,
Annette Bening,
Thora Birch""","""3,9""","""4,2"""
Le Parfumeur,"""Voulant retrouver son odorat et récupérer son amant, une policière s'associe à un créateur de parfum qui utilise des méthodes mortelles pour élaborer la senteur absolue.""","21 septembre 2022
","
1h 36min
","""
Policier,
Drame,
Thriller""","
Nils Willbrandt","""
Emilia Schüle,
Ludwig Simon,
Solveig Arnarsdottir""","""1,4""",--
La Souris du Père Noël,"""Il est bien tard lorsqu'Arthur remet enfin au Père Noël la lettre du petit Hans Petersen, du lointain village de Drumstown, qu'il avait égarée en chemin. On est la veille de Noël et les réserves de cadeaux sont vides. Où trouver le cadeau dont rêve Hans depuis toujours?""","10 décembre 1997
","
0h 26min
","""
Animation,
Famille""","
Vincent Monluc","""
Camille Cottin,
Niels Schneider,
Féodor Atkine""","""3,0""",--
Icare,"""Sur l’île de Crète, chaque recoin est un terrain de jeu pour Icare, le fils du grand inventeur Dédale. Lors d'une exploration près du palais de Cnossos, le petit garçon fait une étrange découverte : un enfant à tête de taureau y est enfermé sur l’ordre du roi Minos.""","30 mars 2022
","
1h 16min
","
Animation","
Carlo Vogele","""
Leonardo DiCaprio,
Naomi Watts,
Armie Hammer""","""3,9""",--
J. Edgar,"""Le film explore la vie publique et privée de l’une des figures les plus puissantes, les plus controversées et les plus énigmatiques du 20e siècle, J. Edgar Hoover.""","11 janvier 2012
","
2h 15min
","""
Biopic,
Drame""","
Clint Eastwood","""
Kodi Smit-McPhee,
Jóhannes Haukur Jóhannesson,
Marcin Kowalczyk""","""3,4""",--
Alpha,"""En Europe, il y a 20 000 ans, durant l'ère Paléolithique supérieur, un jeune homme part braver une nature dangereuse et inhospitalière afin de retrouver le chemin de sa tribu.""","22 août 2018
","
1h 36min
","""
Aventure,
Drame""","
Albert Hughes","""
Félix Bossuet,
Tchéky Karyo,
Margaux Chatelier""","""3,2""",--
Belle et Sébastien,"""Ça se passe là-haut, dans les Alpes. Ça se passe là où la neige est immaculée, là où les chamois coursent les marmottes, là où les sommets tutoient les nuages. Ça se passe dans un village paisible jusqu’à l’arrivée des Allemands.""","18 décembre 2013
","
1h 44min
","""
Aventure,
Famille""","
Nicolas Vanier","""
Edward Norton,
Paul Giamatti,
Jessica Biel""","""4,0""",--
L'Illusionniste,"""Vienne, dans les années 1900. Surgit le charismatique et mystérieux illusionniste Eisenheim, qui ne tarda pas à devenir l'homme le plus célèbre de la ville... Mais la gloire d'Eisenheim est intolérable au Prince héritier Leopold...""","17 janvier 2007
","
1h 50min

","""
Drame,
Fantastique,
Thriller""","
Neil Burger","""
Stacy Martin,
Vincent Dedienne,
Maria Apostolakea""","""3,8""",--
I love Greece,"""Jean et Marina, un couple franco-grec, partent à Athènes pour les vacances d’été. Ils y retrouvent l’exubérante famille de Marina et une Grèce en crise. Alors qu’ils projettent de passer quelques jours en amoureux sur une petite île des Cyclades, toute la famille décide de les accompagner.""","6 juillet 2022
","
1h 31min
","
Comédie","
Nafsika Guerry-Karamaounas","""
Johnny Depp,
Helena Bonham Carter,
Emily Watson""","""2,3""",--
Les Noces funèbres,"""Au XIXe siècle, dans un petit village d'Europe de l'est, Victor, un jeune homme, découvre le monde de l'au-delà après avoir épousé, sans le vouloir, le cadavre d'une mystérieuse mariée.""","19 octobre 2005
","
1h 17min
","""
Animation,
Famille,
Fantastique""","""
Mike Johnson,
Tim Burton""","""
Gilles Lellouche,
Roschdy Zem,
Gérard Lanvin""","""4,0""",--
A bout portant,"""Tout va pour le mieux pour Samuel et Nadia : lui est bientôt infirmier et elle, attend son premier enfant. Mais tout bascule lorsque Nadia se fait kidnapper sous l'oeil impuissant de Samuel. A son réveil, son portable retentit...""","1 décembre 2010
","
1h 25min
","
Policier","
Fred Cavayé","""
Tom Hanks,
Helen Hunt,
Nick Searcy""","""3,7""",--
Seul au monde,"""Employé d'une société de transport, Chuck Noland n'hésite pas à abandonner sa petite amie le soir de Noël pour assumer une mission. Mais, pris dans une tempête, son avion s'abîme en plein Pacifique. Agrippé à un radeau de sauvetage, Chuck rejoint un îlot désert. Petit à petit, il y apprend la survie...""","17 janvier 2001
","
2h 23min
","""
Aventure,
Drame""","
Robert Zemeckis","""
Bradley Cooper,
Ed Helms,
Zach Galifianakis""","""4,1""",--
Very Bad Trip,"""Au réveil d'un enterrement de vie de garçon bien arrosé, les trois amis du fiancé se rendent compte qu'il a disparu 40 heures avant la cérémonie de mariage. Ils vont alors devoir faire fi de leur gueule de bois pour comprendre ce qui s'est passé...""","24 juin 2009
","

1h 30min
","
Comédie","
Todd Phillips","""
Sarah Michelle Gellar,
Jason Behr,
Clea DuVall""","""4,0""",--
The Grudge,Dans ce qui paraît être une paisible maison de Tokyo se cache un épouvantable fléau. Quiconque franchit le seuil de la demeure est aussitôt frappé par une malédiction qui ne tardera pas à le tuer dans un sentiment d'indicible rage...,"29 décembre 2004
","
1h 31min
","""
Fantastique,
Epouvante-horreur,
Thriller""","
Takashi Shimizu","""
Coline Serreau,
Vincent Lindon,
Marion Cotillard""","""2,6""",--
La belle verte,"""Quelque part dans l'univers existe une planète dont les habitants évolués et heureux vivent en parfaite harmonie. De temps en temps quelques-uns d'entre eux partent en excursion sur d'autres planètes. Curieusement, depuis deux cents ans plus personne ne veut aller sur la planète Terre. Or un jour, pour des raisons personnelles, une jeune femme ...""","18 septembre 1996
","

1h 39min
","
Comédie","
Coline Serreau","""
Mel Gibson,
Julia Sawalha,
Miranda Richardson""",--,"""4,3"""
Chicken Run,"""A la ferme des Tweedy, les poules qui ne pondent assez savent qu'elles risquent de se retrouver au menu du dîner. Mais l'intrépide Ginger et ses congénères sont bien décidées à saisir la première occasion de s'évader pour échapper à ce sinistre destin…""","21 novembre 2000
","
1h 24min
","""
Aventure,
Animation,
Comédie""","""
Peter Lord,
Nick Park""","""
Patrick Hivon,
Monia Chokri,
Nadia Tereszkiewicz""",--,"""3,5"""
Babysitter,"""Suite à une blague sexiste devenue virale, Cédric, jeune papa, est suspendu par son employeur. Pour se racheter, il va avec l'aide de son frère Jean-Michel, s'interroger sur les fondements de sa misogynie à travers l’écriture d’un livre.""","27 avril 2022
","
 1h 27min
","
Comédie","
Monia Chokri",0,--,0
Taxi 4,"""Après cinq ans d'absence, nous retrouvons Daniel et Emilien pour de nouvelles aventures sur la Canebière.""","14 février 2007
","
1h 30min
","""
Action,
Comédie,
 Policier""","
Gérard Krawczyk","""
Samy Naceri,
Frédéric Diefenthal,
Bernard Farcy""","""2,2""","""1,4"""
Demon Slayer - Kimetsu no Yaiba - Le film : Le train de l'infini,"""Le groupe de Tanjirô a terminé son entraînement de récupération au domaine des papillons et embarque à présent en vue de sa prochaine mission à bord du train de l'infini, d'où quarante personnes ont disparu en peu de temps.""","19 mai 2021
","
1h 57min
","""
Action,
Animation,
Fantastique""","
Haruo Sotozaki","""
Enzo Ratsito,
Natsuki Hanae,
Akari Kito""","""3,8""","""4,1"""
Le Maître d'école,"""Gérard Barbier, vendeur de jeans, est renvoyé. Possesseur du baccalauréat, il décide de devenir instituteur suppléant. Nommé dans une école, il s'aperçoit vite que le métier d'instituteur n'est pas comme il l'imaginait...""","28 octobre 1981
","
1h 35min
","
Comédie dramatique","
Claude Berri","""
 Coluche,
Roland Giraud,

Josiane Balasko""","""2,9""",--
Acts Of Violence,"""Mia, la fiancée de Roman MacGregor est enlevée par des trafiquants d’êtres humains. Dès lors, Roman et ses frères Brandon et Deklan n’ont qu’une idée en tête : la retrouver saine et sauve. Ils sont aidés dans leur quête par Avery, le policier en charge de l’affaire.""","24 avril 2018
","
1h 32min
","
Action","
Brett Donowho","""
Bruce Willis,
Shawn Ashmore,
Mike Epps""",--,"""2,1"""
Suicide Squad,"""C'est tellement jouissif d'être un salopard ! Face à une menace aussi énigmatique qu'invincible, l'agent secret Amanda Waller réunit une armada de crapules de la pire espèce. Armés jusqu'aux dents par le gouvernement, ces Super-Méchants s'embarquent alors pour une mission-suicide...""","3 août 2016
","
2h 03min
","""
Action,
Fantastique""","
David Ayer","""
Margot Robbie,
Will Smith,
Jared Leto""",--,"""3,0"""
Ensorcelée par Noël,"""Un vœu contraint June, une jeune femme obsédée par sa carrière d’éditrice de livres pour enfants, à accepter toutes les invitations lors de son séjour chez ses parents pour les fêtes. Mais les sentiments du passé sont ravivés quand un ancien amour de jeunesse, Blake, se joint au programme des festivités.""","9 novembre 2022
","
1h 30min
","
Romance","
Graeme Campbell","""
Erika Prevost,
Romaine Waite,
Zoe Doyle""","""3,4""","""3,5"""
Pacific Rim,"""Lorsque des légions de monstreuses créatures extraterrestres surgirent des océans, une terrible guerre débuta. Pour les combattre, les hommes créèrent des robots géants, les Jaegers. Mais meme ces terribles Jaegers ne pouvaient vaincre ces créatures. Alors que la défaite est proche, l'humanité doit désormais se reposer sur deux héros improbables, qui décident de faire revivre un vieux Jaegers. C'est l'ultime espoir face à l'apocalypse...""","17 juillet 2013
","
2h 10min
","""
Action,
Aventure""","
Guillermo del Toro","""
Charlie Hunnam,
Idris Elba,
 Rinko Kikuchi""","""4,6""","""3,8"""
Les Nerfs à vif,"""Max Cady, condamné à quatorze années de prison pour viol et voie de fait sur une mineure, est à nouveau libre. Avec détermination et rigueur, il entreprend de se venger de l'avocat Sam Bowden, qu'il estime responsable de son incarcération.""","18 mars 1992
","
2h 08min
","""
Judiciaire,
Thriller""","
Martin Scorsese","""
Robert De Niro,
Nick Nolte,
 Jessica Lange""","""3,0""","""4,3"""
Capharnaüm,"""À l'intérieur d'un tribunal, Zain, un garçon de 12 ans, est présenté devant le juge. À la question : "" Pourquoi attaquez-vous vos parents en justice ? "", Zain lui répond : "" Pour m'avoir donné la vie ! "". Capharnaüm retrace l'incroyable parcours de cet enfant en quête d'identité et qui se rebelle contre la vie qu'on cherche à lui imposer.""","17 octobre 2018
","
2h 00min
","
Drame","
Nadine Labaki","""
Zain Al Rafeea,
Cedra Izam,
Nadine Labaki""","""3,5""",--
Section 99,"""Lorsque Bradley, un ancien boxeur, perd son emploi de mécanicien, son mariage s’effondre en même temps. Il décide alors de devenir l’homme de main d’un trafiquant de drogue afin d’assurer une vie confortable à sa femme Lauren.""","25 septembre 2018
","
2h 12min
","""
Drame,
Thriller""","
S. Craig Zahler","""
Vince Vaughn,
Don Johnson,
Jennifer Carpenter""",--,"""3,5"""
La Soupe aux choux,"""Le Glaude et le Bombé, deux vieux paysans portés sur la bouteille, vivent retirés de la vie moderne. Une nuit, un extra-terrestre atterrit en soucoupe volante dans le jardin du Glaude. En gage de bienvenue, ce dernier lui offre un peu de sa fameuse soupe aux choux...""","2 décembre 1981
","
1h 38min
","""
Comédie,
Science Fiction""","
Jean Girault","""
Louis de Funès,
Jean Carmet,
Claude Gensac""",--,"""3,1"""
Happiness Therapy,"""Tout juste sorti d'un hôpital psychiatrique, après 8 mois d'internement, Pat, ancien professeur d'histoire au lycée, tente de renouer des liens avec son ex-femme.""","30 janvier 2013
","
2h 02min
","
Comédie dramatique","
David O. Russell","""
Bradley Cooper,
Jennifer Lawrence,
Robert De Niro""",--,"""3,3"""
La Conspiration des belettes,"""Quatre vieux amis : un réalisateur, un scénariste, une actrice et son mari partagent une grande maison à la campagne. Ils mènent une vie paisible jusqu’à l’arrivée d'un jeune couple d’agents immobiliers sans scrupules prêt à tout pour récupérer la propriété.""","21 juillet 2021
","
2h 09min
","""
Comédie,
Drame""","
Juan José Campanella","""
Graciela Borges,
Oscar Martinez,
Luis Brandoni""",--,"""2,5"""
Innocents - The Dreamers,"""En plein Mai 68, Isabelle et son frère Théo, restés seuls à Paris pendant les vacances de leurs parents, invitent chez eux Matthew, un étudiant américain. Livrés à eux-mêmes, ils vont explorer leur identité émotionnelle et sexuelle.""","10 décembre 2003
","
1h 56min
","""
Drame,
Erotique""","
Bernardo Bertolucci","""
Michael Pitt,
Eva Green,
Louis Garrel""",--,0
Phénomènes,Une famille essaie de fuir un désastre naturel qui devient rapidement la plus grande menace de l'humanité.,"11 juin 2008
","
1h 31min
","""
Science Fiction,
Thriller""","
M. Night Shyamalan","""
Mark Wahlberg,
Zooey Deschanel,
John Leguizamo""",0,0
Oblivion,"""Sur une planète Terre devenue méconnaissable, la confrontation d’un homme avec son passé va le mener sur le chemin de la rédemption et de la découverte alors qu’il se bat pour sauver l’humanité de sa perte.""","10 avril 2013
","
2h 06min
","""
Action,
Science Fiction""","
Joseph Kosinski","""
Tom Cruise,
Olga Kurylenko,
Morgan Freeman""","""2,9""","""3,6"""
Un Noël d'enfer,"""Hugo, un avocat new-yorkais, et sa meilleure amie, Madelyn, se rendent à Milwaukee pour les fêtes de Noël chez la mère d'Hugo, Kate. Cette dernière présente Patrick, l'ami de lycée et le coup de foudre secret d'Hugo à son fils. Tandis que les deux hommes se rapprochent, Hugo apprend qu'une grosse promotion l'oblige à déménager à Londres...""","9 novembre 2021
","
1h 25min
","
Romance","
Pat Mills","""
Ben Lewis (XI),
Blake Lee,
Fran Drescher""","""3,0""",--
Deadpool,"""À l'origine, il s'appelle Wade Wilson : un ancien militaire des Forces Spéciales devenu mercenaire. Après avoir subi une expérimentation hors norme qui va accélérer ses pouvoirs de guérison, il va devenir Deadpool. Armé de ses nouvelles capacités et d'un humour noir survolté, Deadpool va traquer l'homme qui a bien failli anéantir sa vie.""","10 février 2016
","
1h 48min
","""
Action,
Comédie,
Fantastique""","
Tim Miller","""
Ryan Reynolds,
Morena Baccarin,
Ed Skrein""","""4,0""",--
Du sang et des larmes,"""Le 28 juin 2005, un commando de quatre Navy Seals prend part à l’opération ""Red Wing"", qui a pour but de localiser et éliminer le leader taliban Ahmad Shah. Mais rapidement repérés et encerclés, les quatre soldats vont se retrouver pris au piège.""","1 janvier 2014
","
2h 02min
","""
Action,
Drame,
Guerre""","
Peter Berg","""
Mark Wahlberg,

Taylor Kitsch,
Emile Hirsch""","""4,2""",--
Dallas Buyers Club,"""L'histoire vraie de Ron Woodroof, un électricien qui a été diagnostiqué séropositif en 1986 et dont l'espérance de vie ne devait pas dépasser 6 mois.""","29 janvier 2014
","
1h 57min
","""
Biopic,
Drame""","
Jean-Marc Vallée","""
Matthew McConaughey,
Jennifer Garner,

Jared Leto""","""4,3""",--
Le Tableau,"""Dans un Tableau abandonné par son Peintre, vivent trois sortes de personnages : les Toupins qui sont entièrement peints, les Pafinis auxquels il manque quelques couleurs et les Reufs qui ne sont que des esquisses. S'estimant supérieurs, les Toupins ont pris le pouvoir...""","23 novembre 2011
","
1h 16min
","
Animation","
Jean-François Laguionie","""
Jessica Monceau,
Adrien Larmande,
Thierry Jahn""","""4,0""",--
Maestro,"""Henri, un jeune acteur qui rêve de jouer dans ""Fast and Furious"", se retrouve engagé dans le film de Cédric Rovère, monstre sacré du cinéma d’auteur. Henri sort transformé de cette expérience insolite, enfin prêt pour l’amour.""","23 juillet 2014
","
1h 25min
","
Comédie dramatique","
Léa Fazer","""
Pio Marmaï,
Michael Lonsdale,

Déborah François""","""3,9""",--
Family,"""Cinq portraits de famille, cinq équilibres bouleversés. Série d'anthologie au travers de laquelle sont abordés avec beaucoup de justesse des thématiques fortes comme le deuil, la toxicité familiale, l'absence de communication parents/ enfants ou encore la fausse couche et le divorce.""","18 novembre 2022
","
0h 50min
","
Drame","
Jean-Baptiste Delannoy","""
Maud Bettina-Marie,
Marie-Christine Adam,
 Rufus""",--,"""3,4"""
